number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_n_features,state
0,0.9911052385633026,2025-12-23 06:28:54.992924,2025-12-23 06:28:56.367347,0 days 00:00:01.374423,15,,1,6,300,50,COMPLETE
1,0.9208817415685074,2025-12-23 06:28:56.369338,2025-12-23 06:28:57.073995,0 days 00:00:00.704657,5,sqrt,5,10,250,70,COMPLETE
2,0.9791428318213313,2025-12-23 06:28:57.075532,2025-12-23 06:28:57.804586,0 days 00:00:00.729054,11,,4,4,200,40,COMPLETE
3,0.957310784898242,2025-12-23 06:28:57.806424,2025-12-23 06:28:58.472330,0 days 00:00:00.665906,7,log2,3,6,250,60,COMPLETE
4,0.9682882418343833,2025-12-23 06:28:58.473780,2025-12-23 06:28:59.260093,0 days 00:00:00.786313,19,log2,2,10,300,20,COMPLETE
5,0.9090784575968031,2025-12-23 06:28:59.262160,2025-12-23 06:28:59.683378,0 days 00:00:00.421218,5,sqrt,2,10,150,30,COMPLETE
6,0.9946220532074317,2025-12-23 06:28:59.685223,2025-12-23 06:29:00.146043,0 days 00:00:00.460820,19,,5,8,100,60,COMPLETE
7,0.8632490855476241,2025-12-23 06:29:00.147744,2025-12-23 06:29:00.434708,0 days 00:00:00.286964,5,log2,2,4,100,20,COMPLETE
8,0.9526780966499621,2025-12-23 06:29:00.436147,2025-12-23 06:29:00.969930,0 days 00:00:00.533783,7,sqrt,1,10,200,40,COMPLETE
9,0.9601508242156658,2025-12-23 06:29:00.971602,2025-12-23 06:29:01.628433,0 days 00:00:00.656831,15,log2,4,8,250,20,COMPLETE
10,0.996150840329364,2025-12-23 06:29:01.629990,2025-12-23 06:29:01.984137,0 days 00:00:00.354147,19,,5,2,50,100,COMPLETE
11,0.996150840329364,2025-12-23 06:29:01.985673,2025-12-23 06:29:02.317688,0 days 00:00:00.332015,19,,5,2,50,100,COMPLETE
12,0.9959554617380236,2025-12-23 06:29:02.319256,2025-12-23 06:29:02.658678,0 days 00:00:00.339422,17,,5,2,50,100,COMPLETE
13,0.9956130456501071,2025-12-23 06:29:02.660684,2025-12-23 06:29:02.987002,0 days 00:00:00.326318,15,,4,2,50,100,COMPLETE
